상호명,도로명주소,위도,경도
씨엘,경상북도 경주시 건천읍 내서로 1110,35.8497316733204,129.102924756312
카페.꽃레스,경상북도 청도군 청도읍 한내길 236-6,35.6396217400033,128.748502385835
커피향기,경상북도 청도군 운문면 청려로 4728,35.7164346194096,128.915323033919
통통이네,경상북도 영주시 한정로 28-5,36.8034632679022,128.608105236825
카페알바트로스,경상북도 경주시 외동읍 외남로 1773-196,35.7165618879682,129.337859436523
컴포즈커피지곡점,경상북도 포항시 남구 지곡로 257,36.0292191054823,129.32393200863
소소,경상북도 경주시 동대로8번길 8,35.8559926535662,129.206394028019
위치무인카페,경상북도 안동시 화성길 36,36.568326205055,128.726584294272
메가커피경주용황점,경상북도 경주시 용황구획4길 35,35.8831354891696,129.227205452902
입체커피,경상북도 안동시 영가로 12-1,36.5642661403734,128.73322702536
카페봄봄,경상북도 포항시 남구 연일읍 동문로 39,35.9937145038054,129.351828979488
좋은인연,경상북도 경주시 양남면 진리길 15,35.6800285458577,129.467409631631
우드인스토리,경상북도 경주시 강변로152번길 7,35.8376426987014,129.203692118541
앤틱카페에델바이스,경상북도 포항시 남구 대이로83번길 9-3,36.0223662508968,129.339659830143
카페자연학교,경상북도 포항시 북구 흥해읍 성곡길 92-20,36.0818404568945,129.350738117821
노커포레스트,경상북도 청도군 이서면 철담길 71-25,35.6983831791527,128.663481614211
엘피카페블루,경상북도 포항시 남구 장기면 동해안로 3360-7,35.8829312477533,129.525762817312
꿈나무카페,경상북도 구미시 송동로7길 15-1,36.1438759889517,128.320816585951
프레슈어커피,경상북도 포항시 남구 대이로45번길 16,36.0189008229803,129.340078197492
이디야커피안동옥동점,경상북도 안동시 광명로 189,36.5637424694653,128.703471670103
바이버리커피,경상북도 경산시 옥산로 108,35.8247941845479,128.724560978654
커피에스페란토,경상북도 포항시 남구 오천읍 하원로47번길 9,35.9745113098201,129.403434835369
제이드826커피,경상북도 포항시 남구 연일읍 부조길291번길 14-16,35.9945338596975,129.312128699087
커피뉴빈,경상북도 경주시 용담로92번길 43-6,35.8675697521764,129.213977125968
이디야커피,경상북도 경산시 백자로 117,35.8157115860705,128.757742816981
카페도란도란,경상북도 구미시 송정대로6길 51-1,36.1149597425404,128.347647084181
커피베리,경상북도 의성군 의성읍 군청길 42,36.3519129108651,128.698162961173
카페뷰,경상북도 구미시 산동읍 강동로 862-7,36.1661995829086,128.452434423288
카페190,경상북도 포항시 남구 장기면 동해안로 3952-46,35.9264519759631,129.517922565175
고어라운드커피,경상북도 포항시 남구 대이로143번길 12-6,36.0278437804126,129.339031400513
커피,경상북도 경주시 양남면 동해안로 497,35.6871405836919,129.47322925885
삼경,경상북도 경주시 원효로 192,35.8415225331783,129.222014721227
라포미경산역점,경상북도 경산시 중앙로 8,35.8197302515405,128.728786653064
이디야커피도량롯데,경상북도 구미시 문장로 111,36.1428443995176,128.328979698683
커피정경,경상북도 예천군 호명면 양지2길 26,36.5772799115189,128.477626796145
호다실,경상북도 문경시 신흥1길 11-12,36.6002226664055,128.204373438094
커피샵,경상북도 경주시 갓뒤동녘길 33,35.8717883137091,129.219256996135
이디야구미,경상북도 구미시 산동읍 신당2로 29,36.1558751226299,128.431747928495
알리바바커피앤도넛,경상북도 경주시 중앙로 55,35.8449013576508,129.211428720001
빽다방영천,경상북도 영천시 충효로 74,35.9732333893899,128.937626610032
107페이지,경상북도 구미시 봉곡서로 87-34,36.1586411539654,128.306272636143
풀꽃뜨락,경상북도 경산시 와촌면 대한길 37-3,35.9680930042871,128.788965248537
대정연가,경상북도 봉화군 춘양면 달구벌길 62-152,36.9996385261318,128.828447221919
카페제이제이,경상북도 경주시 양남면 양남항구길 14-8,35.6903696787768,129.474492849226
미드나잇블루,경상북도 포항시 남구 오천읍 정몽주로 577,35.9697042869404,129.415999648273
바실라상사사회적협동조합,경상북도 경주시 금성로395번길 22,35.8530995204001,129.204601026185
"지금은,구룡포",경상북도 포항시 남구 구룡포읍 구룡포길 126,35.9914474739647,129.558745462797
봄봄,경상북도 청도군 청도읍 청화로 191-1,35.6418658798534,128.745630319056
읍천리382,경상북도 안동시 옥동2길 51-21,36.561014513373,128.70148077488
더카페동아구미점,경상북도 구미시 송원동로 28,36.1200041850029,128.348613564369
카페라샹떼,경상북도 영천시 청통면 청통로 894-43,35.9899959261908,128.796924262127
길휴게실,경상북도 구미시 선산읍 단계동길 24,36.2395178878857,128.300924836492
스텔라,경상북도 경산시 들뫼길 306,35.7888810676015,128.767399832951
레쉬커피쇼룸,경상북도 상주시 동수로 126,36.421400146561,128.155751349872
카페398,경상북도 김천시 우래1길 27,36.1216367827894,128.180796842995
이디야포항이동골프점,경상북도 포항시 남구 희망대로 614,36.0130426024592,129.340899727388
곰이랑놀궁리,경상북도 봉화군 봉화읍 교촌길 44,36.8868361648639,128.73623261332
나우커피구미시호반점,경상북도 구미시 산동읍 해마루공원로 115,36.1445686583897,128.427930044913
정다방,경상북도 포항시 남구 호미곶면 해맞이로 207,36.0792933946751,129.559045565394
커피와,경상북도 경주시 알천남로 124,35.8525412739837,129.215286798168
꿈앤카페시소,경상북도 영주시 시청로 1,36.8062447470535,128.6226514548
커페바흐,경상북도 경주시 하동1길 43-12,35.793672652259,129.309426558154
하삼동커피경주협성휴포레점,경상북도 경주시 용황로 74,35.8830546503269,129.226296068625
디저트39,경상북도 포항시 남구 대이로111번길 5,36.0249810423787,129.340358675625
소리길121,경상북도 김천시 한일길 5,36.1351736174792,128.095340213489
스너그커피하우스,경상북도 예천군 예천읍 맛고을길 30-1,36.6554059859902,128.452293582457
빌리브라운,경상북도 칠곡군 석적읍 남율로9길 30,36.0677495139291,128.402446698444
카페테디,경상북도 경산시 박물관로 29,35.8156553743781,128.762356791201
스윗띵,경상북도 의성군 안계면 용기12길 23,36.3822349036873,128.437521001644
메가엠지씨커피비산,경상북도 구미시 신비로 115,36.1211515374736,128.374591289936
꼬치의품격울진죽변점,경상북도 울진군 죽변면 죽변북로 31,37.062211589695,129.42075649705
카페행복,경상북도 울진군 울진읍 울진중앙로 126,36.9927529044236,129.401309933345
빠네투아,경상북도 구미시 산호대로 1192-1,36.133120310213,128.457721992566
입체커피,경상북도 예천군 호명면 양지3길 7,36.5776329453382,128.479483839096
빽다방,경상북도 구미시 인동중앙로 8,36.1062814249427,128.420402919438
카페죽도소년,경상북도 포항시 북구 죽도시장3길 3-4,36.0354081045046,129.365934030679
투썸플레이스보문호수점,경상북도 경주시 천군1길 8-18,35.8344314660941,129.27559707328
소담길,경상북도 봉화군 봉화읍 교촌길 62,36.8878071690482,128.738048162858
여원,경상북도 영천시 화남면 천문로 1765-12,36.0724783009843,128.902889176684
카페루앤비,경상북도 포항시 북구 흥해읍 영일만산단로 73,36.099335159391,129.400032460208
밀리리터커피로스터리,경상북도 안동시 복주1길 12,36.5605790842477,128.698896263433
물치상회,경상북도 울진군 후포면 울진대게로 289-1,36.6825846654155,129.463876520595
마음을담아,경상북도 영주시 대학로240번길 14,36.8167296770699,128.606136589771
그린찻집울진해맞이케이블카,경상북도 울진군 근남면 망양정로 1065-27,36.9655876748736,129.410210924036
인사동갤러리,경상북도 포항시 북구 죽장면 수목원로 540,36.2185968981113,129.249874464434
맥스웰하우스,경상북도 안동시 경동로 130,36.5749017939702,128.676600311023
해리엇커피,경상북도 포항시 남구 호미곶면 호미곶길 23,36.0703929721854,129.569137899762
별카페,경상북도 김천시 연화지1길 8,36.1380407918634,128.094010318217
마시그래이,경상북도 포항시 북구 포스코대로 250,36.02185926122,129.351910208624
카페베리스,경상북도 경주시 유림로 79,35.8689639475502,129.219590203483
더벤티포항,경상북도 포항시 남구 연일읍 유강길9번길 45,36.0043833636843,129.315519562528
천군,경상북도 경주시 경감로 627,35.8343857802987,129.290848040095
베베르,경상북도 경주시 알천북로249번길 8-12,35.8476172904758,129.227111824854
가비그라운드,경상북도 칠곡군 왜관읍 관문로 12,35.9878786483438,128.396151807479
카페유로,경상북도 경산시 청운1로 15,35.8381167240833,128.752266305442
엔젤리너스커피구미진평점,경상북도 구미시 인동32길 21,36.092898062916,128.430314955308
카페,경상북도 포항시 남구 대송면 운제로 360-22,35.9573443938428,129.362626475483
그리고청진,경상북도 포항시 북구 청하면 해안로2000번길 1,36.1795277775773,129.390530845006
진다방,경상북도 포항시 남구 중앙로121번길 19,36.024932270457,129.366241324622
커피향,경상북도 포항시 북구 새천년대로 1055,36.0630829533762,129.370841118359
커피가술술,경상북도 경주시 갓뒤길20번길 17,35.8698883846816,129.219083938212
쁠레지흐,경상북도 포항시 북구 학전로111번길 40,36.0635332202699,129.371659222666
예커피,경상북도 포항시 북구 흥해읍 해안로1774번길 59,36.165942488181,129.398615429107
화양연화,경상북도 청도군 화양읍 도주관로 166,35.6493904968915,128.707038641297
커피에반하다,경상북도 상주시 함창읍 함창중앙로 137,36.5694585268941,128.179656279429
"카페,인",경상북도 영천시 임고면 포은로 453-51,36.0198563408132,128.970518419195
비밀공간,경상북도 경주시 포석로1068번길 11,35.8363369830006,129.210756149425
카페라온,경상북도 청도군 화양읍 양정길 94,35.64188166499,128.729807320005
라포미,경상북도 경산시 경안로 271,35.8317743385203,128.734309129149
퍼스펫파크,경상북도 경주시 외외1길 108-4,35.83031062347,129.167622875813
더프레젠트,경상북도 경산시 선비길 21,35.8163180108855,128.726675044712
단스부띠끄,경상북도 경산시 대학로28길 39,35.8304461493135,128.737783325365
어반바이브,경상북도 포항시 남구 운하로24번길 14,36.0270835089843,129.377506386401
카페,경상북도 울진군 울진읍 연호로 24,36.9935713459028,129.403728948864
더벤티,경상북도 경주시 원효로 118,35.8418846694953,129.21385126165
대장다방,경상북도 성주군 초전면 대장1길 35-2,35.972823513824,128.262697683285
예그리나,경상북도 영주시 선비로 184,36.8208962493914,128.619519484807
커피메카,경상북도 성주군 성주읍 시장길 43-1,35.9150327062458,128.285497620711
카페노네,경상북도 포항시 북구 기계면 기계로77번길 11-42,36.0679784320147,129.209056605949
커피프렌즈,경상북도 포항시 남구 오천읍 정몽주로 635,35.9745831513193,129.414201940874
카페가베35,경상북도 포항시 북구 흥해읍 중성로42번길 17,36.1070600140691,129.3480489994
강남카페,경상북도 의성군 단밀면 주속길 50,36.3751519632792,128.382079996972
밀라플라,경상북도 영주시 원당로19번길 30,36.818838180566,128.618438061841
새소리카페,경상북도 경주시 안강읍 구부랑4길 14-19,36.0038091598396,129.19559792767
카페플레이,경상북도 경주시 문무대왕면 감은로 85,35.7879194597142,129.442024886404
하삼동구미북삼오태점,경상북도 칠곡군 북삼읍 금오대로 288,36.0705590240211,128.348595095821
크레센트,경상북도 경산시 경청로230길 19,35.8063225663846,128.742860150329
카페982,경상북도 경주시 건천읍 내서로 982,35.8584146755186,129.093656332341
써니,경상북도 청도군 화양읍 청화3길 20-34,35.6504012611941,128.735428462328
플로리,경상북도 김천시 혁신2로 15,36.1148820629608,128.18342508438
만랩커피경북영양점,경상북도 영양군 영양읍 여남길 14,36.6666782921692,129.11340688748
효임,경상북도 상주시 동수로 36,36.4173261148112,128.156033141446
공차구미구평점,경상북도 구미시 인동36길 7,36.0937455599093,128.432740472152
하삼동커피,경상북도 구미시 칠성로2길 47,36.1222162793647,128.362476355711
훼임,경상북도 구미시 장천면 강동로 250,36.1315336800579,128.494110229036
아델라베이크,경상북도 경주시 포석로1095번길 38,35.8369276487282,129.207588480169
녹아,경상북도 경주시 포석로1068번길 21,35.8360922012296,129.21179285293
소나무카페,경상북도 안동시 서동문로 141,36.5669144021422,128.727554226315
좋은커피,경상북도 경산시 원효로7길 35,35.8244936297883,128.738403335406
모리커피영일대비치점,경상북도 포항시 북구 삼호로 184-2,36.0548767836404,129.376780853635
머무는,경상북도 안동시 옥동길 7,36.5593087683461,128.698828966724
커피선,경상북도 포항시 북구 청하면 해안로2414번길 20,36.206566257655,129.37159341431
모리커피,경상북도 포항시 북구 중앙상가길 31,36.0379212855081,129.363669401912
드반트,경상북도 경주시 안강읍 구부랑길 44-6,36.0013599855028,129.197180299136
유앤아이커피,경상북도 경주시 외동읍 우박길 49-7,35.6789470907813,129.319457551521
카페비엔,경상북도 영천시 한방로 27,35.9435100268466,128.932864083852
에쏘커피,경상북도 칠곡군 가산면 경북대로 1556,36.084698058035,128.539075753959
짜빠따김천,경상북도 김천시 혁신3로 19,36.1167579963907,128.182618537169
카페송윤,경상북도 김천시 남면 종상길 4-11,36.1253208702426,128.204590848556
그리고봄,경상북도 경산시 성암로12길 36-11,35.8202014960901,128.723888445279
고래까페,경상북도 영덕군 병곡면 병곡1길 106,36.6007618262889,129.412337175808
카페비앤비,경상북도 칠곡군 지천면 지천로 291,35.9615181912316,128.497073416219
이카페,경상북도 영주시 신재로12번길 41-2,36.8331228218632,128.611277163699
휴레스토랑,경상북도 청도군 운문면 운문로 1520,35.6831149034155,128.964666959861
카페케이,경상북도 구미시 인동남길 96,36.0980675040892,128.42638952895
카페데로토,경상북도 경산시 압량읍 주들길 9,35.8352906960217,128.768709843264
커피베이왜관점,경상북도 칠곡군 왜관읍 2번도로길 11-2,35.9889214780245,128.396966615288
카페카리타스,경상북도 구미시 백산로 118,36.119984682125,128.346014028231
달꿈케이크,경상북도 안동시 풍천면 풍요3길 34,36.5755779083099,128.497147779784
복이네,경상북도 포항시 남구 중앙로122번길 12,36.0240737153166,129.369610280945
동네커피,경상북도 김천시 혁신3로 22,36.1169033863396,128.181841287755
복다방,경상북도 칠곡군 석적읍 유학로 28,36.0785479857502,128.4127830029
포레스트리,경상북도 경산시 자인면 원효로161길 126,35.8150624078641,128.822239545804
언덕위에봄날,경상북도 칠곡군 약목면 남계5길 189-3,36.023839470782,128.350275392389
코스모스,경상북도 청도군 금천면 금천로 718-3,35.7439190071222,128.862447550092
가넷,경상북도 포항시 북구 새천년대로1123번길 9,36.0679246296852,129.371446850942
꽃향기이야기,경상북도 상주시 함창읍 새잼이길 47,36.5796260211659,128.166103064852
새코미,경상북도 포항시 북구 용당로 119,36.0379258968185,129.362471079683
티타임커피사곡점,경상북도 구미시 상사동로 133,36.0964506423754,128.358682096119
수다방,경상북도 영주시 풍기읍 인삼로 17,36.8718941549544,128.523872328826
디디디,경상북도 구미시 박정희로 529,36.1219302331946,128.346444707968
향기내는사람들히즈빈스한,경상북도 포항시 북구 흥해읍 한동로 558,36.1023173223365,129.389268792128
커피마마,경상북도 문경시 마성면 은성로 1041,36.6499732904413,128.081520573979
퍼팩트,경상북도 포항시 남구 오천읍 냉천로270번길 7,35.9703627762587,129.409060003071
슬로리드,경상북도 포항시 북구 새천년대로1259번길 6,36.074927573232,129.384734808441
오오커피,경상북도 포항시 북구 삼호로 62-1,36.0460351922234,129.369746465394
플라잉스톤,경상북도 영주시 부석면 부석사로 313,36.9951130036846,128.681360644689
구미지역자활센터카페카리타스,경상북도 구미시 인동가산로 392,36.0900862941773,128.45465182554
선화,경상북도 경주시 태종로 736-3,35.8389870320796,129.208936872166
볕내,경상북도 구미시 봉곡서로5길 17,36.1527233655433,128.304827111078
