이름,lat,lang
몰카페,35.213046957927,126.81866348769
새콤달콤이카페,35.210486362791,126.86379592142
메가엠지씨커피광주,35.148866308852,126.92485962483
커피톡,35.113120800423,126.90314844955
라떼야커피광주현대,35.185672006937,126.89800221543
엘렌카페광주,35.165632399177,126.90475993209
미밀,35.176181565417,126.91510269497
해브어나이스도넛,35.140931191305,126.87296051315
지조있는카페,35.196770874329,126.84133322889
온다방,35.131324211551,126.91061787121
아우비,35.159165614729,126.91938979034
담은공방카페,35.155027214961,126.86409560322
빈샌모어,35.118370036004,126.86626121528
벌크커피방림점,35.134605077589,126.92066903737
투썸플레이스장덕점,35.191130814838,126.81458876251
벌크커피하남,35.177963433701,126.80650227099
컴포즈커피동강대점,35.170004507836,126.92594264622
더봄미니멀커피하우스더봄,35.175677850573,126.91321015904
디저트39하남메가박스점,35.161863112172,126.81090848144
더리터계림,35.155876908641,126.91752353664
공육일,35.157417483097,126.92147635011
카페달링,35.157673877885,126.80654626504
공차광주,35.162027582117,126.93620068006
어랏커피,35.190006371559,126.82592548075
메가MGC커피광주신가점,35.185379251293,126.8368177247
꿀꺽소리,35.150712996758,126.87800574776
메가MGC커피광주여대점엠지씨,35.166699890403,126.80413121752
카페고.도,35.152799026459,126.86390707228
가젤,35.149151523533,126.92856530445
아네몬느,35.148138932393,126.92212556494
오클랜드,35.149036536135,126.85680396434
제이.트레비카페,35.145467712343,126.84168772924
꽃피는봄날,35.144355181157,126.84317399484
광주북구일터지역자활센터커피마루,35.162932829416,126.90526811281
명보다방,35.15513872754,126.9166223532
커피상담소,35.131585149959,126.89463878488
페르마타,35.161616258797,126.93966358186
카페그림,35.201222463492,126.89422317277
버턴커피,35.146541780331,126.91386103794
꽃다방,35.161396938299,126.90288489085
희희,35.124559337303,126.8697740293
설빙,35.1469245962,126.91634712558
청자다방운남,35.171997603658,126.81951006687
커피다,35.140187315159,126.87730525194
서로의마음을it;da,35.128915586938,126.90740226412
개밥주는여자,35.203574777373,126.8271358961
카페다온,35.174348650085,126.88107329204
컴포즈커피주월,35.130713360078,126.89987330335
베스트커피신가,35.183942360686,126.8336212914
우주라이크,35.172889825259,126.910898009
뱅,35.145207421399,126.86273959648
플라워카페아뜰리에,35.1308371562,126.79444084217
카페미로,35.142658391308,126.88329589149
브레이크타임,35.189366470147,126.83902276933
더리얼,35.165473382647,126.9344324431
아마떼광주효천점,35.104157250945,126.88104622448
카페어헤드,35.136063560302,126.90739455468
카페나무,35.15346214093,126.85869563521
컴포즈커피송정영광통점,35.140269378847,126.79572831147
에쏠로지비엔날레점,35.181926462891,126.89056508957
그리지오,35.129093854597,126.9111852003
더벤티광주삼각점,35.194826901153,126.90162303071
커피에반하다,35.134475146771,126.89228449914
카페사랑해,35.213700536258,126.84529929102
유캔두잇,35.157494002955,126.91591063016
코람데오,35.245592934212,126.9166621011
디저트39,35.181968190658,126.80129462084
커피하루,35.170989192968,126.9231413915
카페욜로,35.154240675776,126.88323642405
더벤티광주,35.178476363085,126.88982151602
석화갤러리카페,35.160674422076,126.91473788523
하삼동커피,35.149052607902,126.92350729464
커피에쏠로지상무,35.158280728187,126.84781718856
드롭탑,35.149586828125,126.85113336637
카페유동,35.159946927708,126.90601058974
벌크커피첨단메디케어점,35.213636348719,126.85086869476
예솔커피,35.174860285677,126.88670899939
로샤,35.135892269596,126.9024042005
감성커피도산점,35.131079001206,126.78886347782
벌크커피,35.137844929234,126.79213196954
더툰만화카페,35.160564658188,126.87990105782
달리는커피광주상무역점,35.146430340819,126.84621739883
씨엘오,35.128841404492,126.89722133951
플랜티,35.148460530854,126.9137257974
꽃담은플라워카페,35.15381838151,126.87655828769
이디야광주상무,35.154062091353,126.84779984297
컴포즈커피전대,35.175574473912,126.91273947303
더블에이트,35.153838121199,126.92849288972
토프레소,35.136226962307,126.9115291517
오버릿,35.123961222737,126.86943121381
까사델커피,35.15227302625,126.92074306317
커피바라기,35.140508811233,126.88185481054
얼스커피,35.152316815988,126.92567029102
커피로운,35.151187608915,126.88646085445
커피향기,35.152347204201,126.81117865011
필라이크선데이,35.18592805739,126.90436690401
아카펠라,35.10244977828,126.90431147271
광주서구지역자활센터광자다방-농성점,35.155399141924,126.88472422725
광주남부교회코이노니아,35.139047746412,126.89355032102
오뎐,35.147693797694,126.93396189626
영웅,35.156569645162,126.8489278946
르카페시즌,35.146915407967,126.87576424888
양지다방,35.172825512981,126.91679395291
광주북구동신지역자활센터달콤메이드,35.169986777891,126.90783010958
블랙빈프레소,35.191688648183,126.84621474619
단미드카페,35.222679653849,126.84923635322
오,35.177707989335,126.89549684078
일루이스카페,35.163757442477,126.90475213986
달콤해디저트카페,35.19828237507,126.84198161374
올라,35.160306427926,126.81118358576
카페그란데상무,35.154206057756,126.85442685324
비알비카페,35.183864168671,126.80160713374
메가MGC커피광주,35.171067428479,126.86843920226
공차충장우체국점,35.147171671479,126.91676087626
커피타요,35.170576279952,126.87377007427
솔트라운지,35.156702248333,126.85435893282
컴포즈커피광천점,35.16232842679,126.88055741089
컴포즈커피,35.157916040529,126.92584912265
카페카멜리아,35.175141062407,126.81834486852
내일도커피,35.164161407488,126.90357222374
엠아이이엘,35.169692904635,126.93250025874
카페가배당,35.116147077399,126.83057330212
스타카라멜라,35.161016475821,126.91972752675
계수나무토끼한마리,35.159259655407,126.85886710551
델리보,35.176933311926,126.89951441615
카페453동명,35.152711977496,126.92449075821
바른까페,35.161555487292,126.93684345404
카페달링,35.20654032348,126.86017182799
벌크커피첨단메가박스점,35.219708923127,126.85248563071
정,35.154520554449,126.91603787904
스파월드,35.126494441281,126.91382006515
선경이앤에프파스쿠찌광주,35.182440609676,126.79621540531
카패동심,35.151471703559,126.92287181083
커피복다,35.154103671612,126.92998205106
지비커피_요(yo),35.144481350559,126.84128469627
청자다방상무역점,35.149481902903,126.84767784375
해오름카페,35.234127979591,126.84838256963
돌담길,35.183225417849,126.88576051372
일공오이,35.196344945785,126.84015334165
아이엠낫얼론,35.163398118925,126.91792880962
모퉁이카페,35.142802732759,126.88821015764
오늘의카페,35.137256462313,126.79821963782
포레스트레인,35.156676448995,126.92633737065
요거얌,35.149939907736,126.92293589645
카페점보,35.148920367978,126.91877897908
힐카페,35.166113509064,126.67254042128
꽃파는카페가배화,35.157325546193,126.87469908325
파스쿠찌,35.186910584806,126.91941787298
요거팡,35.168980227206,126.90217928932
갸또봉선,35.123119655886,126.91241667941
카페더박스,35.131740791463,126.94445093253
카페업데이트,35.186140540112,126.82603598665
이디야커피광주우산사암로점,35.153712240034,126.8143415764
연두상점,35.069854428297,126.83554286632
텐퍼센트커피광주첨단2지구점,35.207334016378,126.86405948574
팬도로시G&R,35.173811300814,126.91112723463
디잇,35.189125557523,126.8114007845
더벤티광주소촌점,35.157471549468,126.79521142165
브리앙뜨,35.155370720212,126.91938509685
메가MGC커피광주양산택지로점,35.210991419606,126.88027421594
