상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805430946,공차,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51130,원주시,51130330,지정면,5113033023,지정면,5.1130330231135E+018,1,대지,1350,1,강원특별자치도 원주시 지정면 가곡리 1350-1,511303350530,강원특별자치도 원주시 지정면 신지정로,211,,4213033023113500001000001,,강원특별자치도 원주시 지정면 신지정로 211,220821,26354,,,,127.8727126241,37.374188874272
MA010120220805437849,한자루체험농원휴앤아크,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51810,인제군,51810330,기린면,5181033024,기린면,5.18103302410068E+018,1,대지,68,3,강원특별자치도 인제군 기린면 방동리 68-3,518103233009,강원특별자치도 인제군 기린면 방동약수로,68,,4281033024100680003000001,,강원특별자치도 인제군 기린면 방동약수로 68,252841,24656,,,,128.38851412049,37.946791836617
MA010120220805437125,카페아지,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51210,속초시,51210600,대포동,5121011100,도문동,5.12101110010769E+018,1,대지,769,2,강원특별자치도 속초시 도문동 769-2,512103223005,강원특별자치도 속초시 설악산로,263,6,4221011100107690002000001,,강원특별자치도 속초시 설악산로 263-6,217100,24904,,,,128.5784662112,38.163420745766
MA010120220805440384,오슈,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51720,홍천군,51720250,홍천읍,5172025029,홍천읍,5.17202502910286E+018,1,대지,286,4,강원특별자치도 홍천군 홍천읍 연봉리 286-4,517204475400,강원특별자치도 홍천군 홍천읍 송학로3길,21,,4272025029102860004000001,,강원특별자치도 홍천군 홍천읍 송학로3길 21,250930,25140,,,,127.87371404189,37.684991739807
MA010120220805448799,씨즐,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150590,송정동,5115011500,견소동,5.11501150010007E+018,1,대지,7,,강원특별자치도 강릉시 견소동 7,511503000145,강원특별자치도 강릉시 경강로,2668,,4215011500100070000022663,,강원특별자치도 강릉시 경강로 2668,210140,25556,,1,,128.95018531766,37.770586097919
MA010120220805461348,피그놀리아커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150580,초당동,5115011200,초당동,5.11501120010336E+018,1,대지,336,,강원특별자치도 강릉시 초당동 336,511503220009,강원특별자치도 강릉시 난설헌로,195,,4215011200103360000017083,,강원특별자치도 강릉시 난설헌로 195,210120,25466,,1,,128.9114007865,37.790994134275
MA010120220805468107,달달하게,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110610,후평2동,5111012000,후평동,5.11101200010839E+018,1,대지,839,2,강원특별자치도 춘천시 후평동 839-2,511104454303,강원특별자치도 춘천시 부평길8번길,23,,4211012000108390002030664,,강원특별자치도 춘천시 부평길8번길 23,200961,24283,,1,,127.75179429005,37.875756339725
MA010120220805472784,화이트클라우드,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130380,판부면,5113038022,판부면,5.11303802211375E+018,1,대지,1375,1,강원특별자치도 원주시 판부면 서곡리 1375-1,511304457249,강원특별자치도 원주시 판부면 백운정윗길,27,,4213038022113750001000001,,강원특별자치도 원주시 판부면 백운정윗길 27,220912,26402,,1,,127.93757150962,37.288833252301
MA010120220805478616,쥐쥐쥐에이치,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150550,교1동,5115011000,교동,5.11501100011084E+018,1,대지,1084,1,강원특별자치도 강릉시 교동 1084-1,511503220005,강원특별자치도 강릉시 교동광장로,171,12,4215011000110840001000001,,강원특별자치도 강릉시 교동광장로 171-12,210924,25500,,,,128.88391962023,37.763893623045
MA010120220805480893,딜리셔슈,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51210,속초시,51210520,동명동,5121010200,동명동,5.12101020010559E+018,1,대지,559,4,강원특별자치도 속초시 동명동 559-4,512103223024,강원특별자치도 속초시 번영로,142,,4221010200105590004015375,,강원특별자치도 속초시 번영로 142,217810,24827,,1,,128.58933964837,38.211370449584
MA010120220805480838,카페보다,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51770,정선군,51770340,북평면,5177034022,북평면,5.17703402210186E+018,1,대지,186,,강원특별자치도 정선군 북평면 북평리 186,517703229017,강원특별자치도 정선군 북평면 북평강변로,105,,4277034022107100000018799,,강원특별자치도 정선군 북평면 북평강변로 105,233851,26101,,,,128.66707335596,37.44587788719
MA010120220805487703,뉴커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150645,성덕동,5115013000,남항진동,5.11501300010042E+018,1,대지,42,,강원특별자치도 강릉시 남항진동 42,511504460176,강원특별자치도 강릉시 공항길127번길,22,,4215013000100420000010205,,강원특별자치도 강릉시 공항길127번길 22,210300,25617,,1,,128.95095953365,37.765453070112
MA010120220805486884,횡계2리,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51760,평창군,51760380,대관령면,5176038024,대관령면,5.17603802410141E+018,1,대지,141,,강원특별자치도 평창군 대관령면 횡계리 141,517604484177,강원특별자치도 평창군 대관령면 사부랑길,8,,4276038024101410000131757,,강원특별자치도 평창군 대관령면 사부랑길 8,232954,25341,,,,128.71390717687,37.68901672446
MA010120220805491286,카페퍼즐,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110545,약사명동,5111010900,죽림동,5.11101090010189E+018,1,대지,189,,강원특별자치도 춘천시 죽림동 189,511104454630,강원특별자치도 춘천시 중앙로67번길,18,,4211010900101890000000894,브라운가,강원특별자치도 춘천시 중앙로67번길 18,200050,24354,,1,,127.72851810275,37.877822387636
MA010120220805493200,딸기다방,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51770,정선군,51770256,사북읍,5177025622,사북읍,5.17702562210369E+018,1,대지,369,35,강원특별자치도 정선군 사북읍 사북리 369-35,517703229020,강원특별자치도 정선군 사북읍 사북중앙로,27,1,4277025622103690035005023,,강원특별자치도 정선군 사북읍 사북중앙로 27-1,233901,26153,,,,128.81783476709,37.227119501043
MA010120220805500062,카페라이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51720,홍천군,51720250,홍천읍,5172025024,홍천읍,5.17202502410064E+018,1,대지,64,1,강원특별자치도 홍천군 홍천읍 갈마곡리 64-1,517204475020,강원특별자치도 홍천군 홍천읍 갈마로12길,11,,4272025024100640001000003,,강원특별자치도 홍천군 홍천읍 갈마로12길 11,250801,25128,,1,,127.90565136023,37.695437857796
MA010120220805508713,구름커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51720,홍천군,51720310,화촌면,5172031028,화촌면,5.17203102810616E+018,1,대지,616,2,강원특별자치도 홍천군 화촌면 굴운리 616-2,517203000146,강원특별자치도 홍천군 화촌면 설악로,2448,,4272031028106160002000001,,강원특별자치도 홍천군 화촌면 설악로 2448,250813,25158,,,,127.94287337302,37.732738440428
MA010120220805511900,메가엠지씨커피동해천곡점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51170,동해시,51170510,천곡동,5117010100,천곡동,5.11701010011085E+018,1,대지,1085,3,강원특별자치도 동해시 천곡동 1085-3,511703221044,강원특별자치도 동해시 천곡로,14,,4217010100010850003002495,,강원특별자치도 동해시 천곡로 14,240810,25764,,1,,129.1067623297,37.525141386903
